State/UT,Male,Female,Total,Graduate,Post-Graduate,Holding technical degree/diploma etc.,No. of Inmates benefitted by Elementary Education,No. of Inmates benefitted by Adult Education,No. of Inmates benefitted by Higher Education,No. of Inmates benefitted by Computer Course
Andhra Pradesh,13414,899,14313,646,204,205,9480,13758,672,170
Arunachal Pradesh,90,2,92,6,1,0,0,0,0,0
Assam,7957,306,8263,232,14,16,676,750,14,30
Bihar,30159,1100,31259,1432,222,103,1693,3013,125,1417
Chhatisgarh,15019,821,15840,531,244,84,1664,1803,192,103
Goa,495,28,523,27,7,15,7,0,6,88
Gujarat,11481,577,12058,659,181,143,2310,3133,875,966
Haryana,16814,830,17644,973,184,217,1131,774,1112,243
Himachal Pradesh,1903,96,1999,85,18,15,33,80,26,0
Jammu & Kashmir,2265,87,2352,98,19,3,102,124,33,34
Jharkhand,17370,850,18220,969,231,222,3008,2595,138,574
Karnataka,13534,584,14118,523,243,335,633,568,170,12
Kerala,7205,190,7395,102,27,102,156,96,24,250
Madhya Pradesh,33622,1086,34708,1232,402,142,1978,9574,301,151
Maharashtra,25841,1559,27400,1450,782,459,346,2743,882,1330
Manipur,625,35,660,23,7,2,0,0,0,0
Meghalaya,839,11,850,8,0,1,1,30,0,0
Mizoram,804,66,870,20,0,0,0,25,18,0
Nagaland,475,12,487,8,0,0,0,0,0,0
Orissa,13832,641,14473,613,160,25,622,613,277,384
Punjab,25985,1464,27449,3030,924,598,325,606,112,168
Rajasthan,18631,662,19293,1573,753,372,1050,237,64,38
Sikkim,222,8,230,6,0,0,0,0,0,0
Tamilnadu,14014,707,14721,883,307,483,68,1664,757,478
Tripura,876,25,901,21,2,2,15,13,4,2
Uttar Pradesh,80206,3312,83518,5440,1944,471,7876,8093,1353,212
Uttaranchal,3663,182,3845,192,24,15,205,42,29,72
West Bengal,21385,1393,22778,825,72,78,2023,1889,123,460
A & N Islands,1141,8,1149,14,5,11,167,45,11,0
Chandigarh,637,24,661,51,9,3,0,265,85,0
D & N Haveli,35,0,35,5,2,3,0,0,0,0
Daman & Diu,55,1,56,1,1,0,0,0,0,0
Delhi,12937,615,13552,702,184,124,1458,1187,908,174
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Pondicherry,273,7,280,5,0,1,0,0,0,0
All India,393804,18188,411992,22385,7173,4250,37027,53720,8311,7356
