S. No (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the year (Col.5),Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated Under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during Investigation (Col.10),Final Report - Cases Ended as FR Non Cognizable (Col.11),Final Report - Cases Ended as Final Report False (Col.12),Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Final Report - Cases Abated during Investigation (Col.15),Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.22=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.23=Col.19/ Col.20) *100,Pendency Percentage (Col.24=Col.23/ Col.7) *100
1,Crime Against Women - Related Acts,The Dowry Prohibition Act,5569,10189,0,15758,0,57,0,1,278,544,562,27,1412,2624,5030,7654,9123,5,10,6630,83.9,42.1
2,Crime Against Women - Related Acts,The Immoral Traffic (Prevention) Act,1971,2127,4,4102,0,1,0,0,13,19,36,1,69,653,1288,1941,2011,1,2,2090,96.5,51
3,Crime Against Women - Related Acts,The Protection of Women from Domestic Violence Act,129,616,0,745,0,0,0,0,16,2,7,0,25,85,458,543,568,0,0,177,95.6,23.8
4,Crime Against Women - Related Acts,The Indecent Representation of Women (Prohibition) Act,17,25,0,42,0,0,0,0,0,0,1,0,1,7,10,17,18,0,4,24,94.4,57.1
Total,Crime Against Women - Related Acts,Crime Against Women - Related Acts (Total),7686,12957,4,20647,0,58,0,1,307,565,606,28,1507,3369,6786,10155,11720,6,16,8921,86.6,43.2
5,Children - Related Acts,The Protection of Children from Sexual Offences Act,12312,32608,4,44924,1,53,3,8,677,272,697,46,1700,5958,22105,28063,29817,26,40,15078,94.1,33.6
6,Children - Related Acts,The Juvenile Justice (Care and Protection of Children) Act,894,2452,0,3346,0,1,0,0,35,55,231,2,323,334,1626,1960,2284,3,3,1059,85.8,31.6
7,Children - Related Acts,The Prohibition of Child Marriage Act,201,395,0,596,0,6,0,0,16,13,17,0,46,111,180,291,343,1,8,252,84.8,42.3
8,Children - Related Acts,The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,26,84,0,110,0,0,0,0,2,0,0,0,2,22,59,81,83,0,0,27,97.6,24.5
9,Children - Related Acts,The Child Labour (Prohibition & Regulation) Act,265,462,1,728,0,2,0,0,14,10,4,0,28,93,270,363,393,0,0,335,92.4,46
