S. No (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the year (Col.5),Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during Investigation (Col.10),Final Report Cases Ended as FR Non Cognizable (Col.11),Final Report Cases Ended as Final Report False (Col.12),Final Report Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Final Report Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Final Report Cases Abated during Investigation (Col.15),Final Report Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.24=Col.19/ Col.20) *100,Pendency Percentage (Col.25=Col.23/ Col.7) *100
1,Crime Against Women - Related Acts,The Dowry Prohibition Act,6630,12826,0,19456,1,61,0,13,307,819,1216,15,2370,3067,6531,9598,12030,1,31,7425,79.8,38.2
2,Crime Against Women - Related Acts,The Immoral Traffic (Prevention) Act,2090,1882,8,3980,0,2,0,0,9,15,55,1,80,582,1135,1717,1799,0,1,2181,95.4,54.8
3,Crime Against Women - Related Acts,The Protection of Women from Domestic Violence Act,177,579,0,756,0,1,0,1,10,3,1,1,16,42,429,471,488,1,0,267,96.5,35.3
4,Crime Against Women - Related Acts,The Indecent Representation of Women (Prohibition) Act,24,22,0,46,0,1,0,0,1,2,4,0,7,3,7,10,18,0,0,28,55.6,60.9
Total,Crime Against Women - Related Acts,Crime Against Women - Related Acts (Total),8921,15309,8,24238,1,65,0,14,327,839,1276,17,2473,3694,8102,11796,14335,2,32,9901,82.3,40.8
5,Children Related - Acts,The Protection of Children from Sexual Offences Act,15074,39827,23,54924,2,68,1,18,593,611,808,50,2080,8078,27490,35568,37718,25,29,17180,94.3,31.3
6,Children Related - Acts,The Juvenile Justice (Care and Protection of Children) Act,1053,2030,0,3083,0,0,0,0,74,63,131,2,270,411,1506,1917,2187,1,2,895,87.7,29
7,Children Related - Acts,The Prohibition of Child Marriage Act,252,501,0,753,0,5,0,0,28,22,25,0,75,95,273,368,448,0,1,305,82.1,40.5
8,Children Related - Acts,The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,27,54,0,81,0,0,0,0,4,0,4,0,8,7,30,37,45,0,0,36,82.2,44.4
9,Children Related - Acts,The Child Labour (Prohibition & Regulation) Act,333,464,0,797,0,0,0,0,8,11,29,0,48,99,273,372,420,0,0,377,88.6,47.3
10,Children Related - Acts,The Medical Termination of Pregnancy Act,23,58,0,81,0,0,0,0,7,0,1,0,8,9,41,50,58,0,0,23,86.2,28.4
Total,Children Related - Acts,Children Related - Acts (Total),16762,42934,23,59719,2,73,1,18,714,707,998,52,2489,8699,29613,38312,40876,26,32,18816,93.7,31.5
11,Scheduled Castes and Scheduled Tribes - Related Acts,The SC/ST (Prevention of Atrocities) Act against SCs,3428,4212,2,7642,0,6,3,25,564,368,352,14,1323,1013,2316,3329,4658,7,18,2974,71.5,38.9
12,Scheduled Castes and Scheduled Tribes - Related Acts,The SC/ST (Prevention of Atrocities) Act against STs,684,347,0,1031,0,3,1,6,79,61,55,0,201,110,108,218,422,4,7,604,51.7,58.6
13,Scheduled Castes and Scheduled Tribes - Related Acts,The Protection of Civil Rights Act against SCs,37,254,1,292,0,0,0,0,2,2,12,0,16,23,230,253,269,0,0,23,94.1,7.9
14,Scheduled Castes and Scheduled Tribes - Related Acts,The Protection of Civil Rights Act against STs,34,3,2,39,0,0,0,0,0,0,0,0,0,33,2,35,35,0,0,4,100,10.3
Total,Scheduled Castes and Scheduled Tribes - Related Acts,Scheduled Castes and Scheduled Tribes - Related Acts (Total),4183,4816,5,9004,0,9,4,31,645,431,419,14,1540,1179,2656,3835,5384,11,25,3605,71.2,40
15,Offences against State - Related Acts,The Prevention of Damage to Public Property Act,3304,7127,4,10435,0,1,0,0,75,211,852,5,1143,1359,4256,5615,6759,3,5,3673,83.1,35.2
16,Offences against State - Related Acts,The Unlawful Activities (P) Act,3920,1182,5,5107,0,9,0,0,56,6,813,0,875,142,175,317,1201,1,0,3905,26.4,76.5
17,Offences against State - Related Acts,The Official Secrets Act,14,40,0,54,0,0,0,0,1,1,3,0,5,3,19,22,27,0,0,27,81.5,50
Total,Offences against State - Related Acts,Offences against State - Related Acts (Total),7238,8349,9,15596,0,10,0,0,132,218,1668,5,2023,1504,4450,5954,7987,4,5,7605,74.5,48.8
18,Arms/Explosive - Related Acts,The Arms Act,12060,66305,2,78367,0,6,0,11,111,171,502,16,811,5124,59189,64313,65130,1,11,13236,98.7,16.9
18.1,Arms/Explosive - Related Acts,Fire Arms,10246,39192,1,49439,0,4,0,9,99,135,433,6,682,4276,33352,37628,38314,1,3,11124,98.2,22.5
18.1.1,Arms/Explosive - Related Acts,Legal/Licensed Arms,221,337,0,558,0,0,0,0,2,3,2,0,7,23,283,306,313,0,1,245,97.8,43.9
