S. No,Crime Head,Cases Pending Investigation from Previous Year,Cases Reported during the year,Cases Reopened for Investigation,Total Cases for Investigation (Col.3+ Col.4+ Col.5),Cases Not Investigated Under 157_1_b CRPC,Cases Transferred to other State or Agency,Cases With-drawn by the Govt during investigation,Final Report - Cases Ended as FR Non Cognizable,Final Report - Cases Ended as Final Report False,Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute,Final Report - Cases True but Insufficient Evidence or Untraced or No Clue,Final Report - Cases Abated during Investi-gation,Final Report - Total (Col.10+ Col.11+ Col.12+ Col.13+ Col.14),Chargesheets submitted - Cases Charge-sheeted Out of Cases from Previous Year,Chargesheets submitted - Cases Charge- sheeted Out of Cases during the Year,Chargesheets submitted - Cases Charge-sheeted (Col.16+ Col.17),Total Cases Disposed Off by Police (Col.7+ Col.8+ Col.15+ Col.18),Cases Quashed at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Investigation at End of the Year (Col.6- Col.9- Col.19- Col.20),ChargeSheeting Rate (Col.18/ Col.19) *100,Pendency Percentage (Col.22/ Col.6) *100
1,The Dowry Prohibition Act,7353,13297,2,20652,0,47,1,8,462,1335,1418,8,3231,2715,6968,9683,12961,268,13,7422,74.7,35.9
2,The Immoral Traffic (Prevention) Act,2183,1645,6,3834,0,3,0,0,9,26,25,0,60,462,875,1337,1400,0,3,2434,95.5,63.5
3,The Protection of Women from Domestic Violence Act,259,553,0,812,0,0,0,0,9,15,2,0,26,71,436,507,533,0,0,279,95.1,34.4
4,The Indecent Representation of Women (Prohibition) Act,29,23,0,52,0,0,0,0,1,1,3,0,5,5,13,18,23,0,2,29,78.3,55.8
Total,Crime Against Women – Related Acts,9824,15518,8,25350,0,50,1,8,481,1377,1448,8,3322,3253,8292,11545,14917,268,18,10164,77.4,40.1
5,The Protection of Children from Sexual Offences Act,17764,47335,85,65184,1,94,0,19,985,635,1296,49,2984,9697,32984,42681,45760,32,68,19392,93.3,29.7
6,The Juvenile Justice (Care and Protection of Children) Act,901,1968,2,2871,0,3,0,13,47,59,64,24,207,308,1351,1659,1869,3,2,999,88.8,34.8
7,The Prohibition of Child Marriage Act,302,525,0,827,0,6,0,0,24,31,19,0,74,121,240,361,441,1,0,385,81.9,46.6
8,The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,36,52,0,88,0,0,0,2,0,1,0,0,3,12,29,41,44,0,2,44,93.2,50
9,The Child Labour (Prohibition & Regulation) Act,374,770,0,1144,0,1,0,0,18,13,59,0,90,138,546,684,775,0,0,369,88.3,32.3
10,The Medical Termination of Pregnancy Act,23,31,0,54,0,0,0,0,2,0,1,0,3,18,23,41,44,0,0,10,93.2,18.5
Total,Children Related – Acts,19400,50681,87,70168,1,104,0,34,1076,739,1439,73,3361,10294,35173,45467,48933,36,72,21199,92.9,30.2
11,The SC/ST (Prevention of Atrocities) Act against SCs,3074,4129,0,7203,0,9,2,14,568,451,401,7,1441,770,2380,3150,4600,9,7,2592,68.5,36
12,The SC/ST (Prevention of Atrocities) Act against STs,632,439,1,1072,0,2,0,7,43,56,102,0,208,166,154,320,530,2,1,540,60.4,50.4
13,The Protection of Civil Rights Act against SCs,23,13,0,36,0,0,0,0,2,0,0,0,2,4,9,13,15,0,0,21,86.7,58.3
14,The Protection of Civil Rights Act against STs,4,3,0,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,100,85.7
Total,Scheduled Castes and Scheduled Tribes – Related Acts,3733,4584,1,8318,0,11,2,21,613,507,503,7,1651,940,2544,3484,5146,11,8,3159,67.7,38
15,The Prevention of Damage to Public Property Act,3615,6079,1,9695,0,1,0,7,104,154,728,7,1000,1320,3531,4851,5852,4,0,3839,82.9,39.6
16,The Unlawful Activities (P) Act,3908,1226,0,5134,1,5,0,0,50,17,583,0,650,257,228,485,1141,0,0,3993,42.5,77.8
17,The Official Secrets Act,27,40,0,67,0,0,0,0,1,1,2,1,5,8,11,19,24,0,0,43,79.2,64.2
Total,Offences against State - Related Acts,7550,7345,1,14896,1,6,0,7,155,172,1313,8,1655,1585,3770,5355,7017,4,0,7875,76.3,52.9
18,The Arms Act,13193,73122,0,86315,0,9,0,2,40,168,549,26,785,5669,65864,71533,72327,2,4,13986,98.9,16.2
18.1,Fire Arms,11031,44823,0,55854,0,6,0,1,35,142,440,20,638,4527,38799,43326,43970,1,3,11883,98.5,21.3
18.1.1,Legal/Licensed Arms,224,310,0,534,0,0,0,0,6,4,17,0,27,26,254,280,307,0,1,227,91.2,42.5
18.1.2,Illegal/Unlicensed Arms,10807,44513,0,55320,0,6,0,1,29,138,423,20,611,4501,38545,43046,43663,1,2,11656,98.6,21.1
18.2,Other Arms,2162,28299,0,30461,0,3,0,1,5,26,109,6,147,1142,27065,28207,28357,1,1,2103,99.5,6.9
19,The Explosives Act,771,2151,0,2922,0,1,0,0,7,15,86,2,110,339,1582,1921,2032,0,1,890,94.5,30.5
20,The Explosive Substances Act,2284,2013,2,4299,1,1,0,0,19,22,241,5,287,557,1016,1573,1862,0,0,2437,84.5,56.7
Total,Arms/Explosive - Related Acts,16248,77286,2,93536,1,11,0,2,66,205,876,33,1182,6565,68462,75027,76221,2,5,17313,98.4,18.5
