Si. No. (Col. 1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year - (Col. 3),Cases Reported during the year - (Col. 4),Cases Reopened for Investigation - (Col. 5),Total Cases for Investigation (Col.3+ Col.4+ Col.5) - (Col. 6),Cases Not Investigated Under 157_1_b CRPC - (Col. 7),Cases Transferred to Other State or Agency - (Col. 8),Cases Withdrawn by the Govt during Investigation - (Col. 9),Final Report - Cases Ended as FR Non Cognizable - (Col. 10),Final Report - Cases Ended as Final Report False - (Col. 11),Final Report - Cases Ended as Mstake of Fact or of law or Civil Dispute - (Col. 12),Final Report - Cases True but Insuficient Evidnce or Untraced or No Clue - (Col. 13),Final Report - Cases Abated during Investigation - (Col. 14),Final Report - Total (Col.10+ Col.11+ Col.12+ Col13+ Col.14) - (Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16),Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17),Charge Sheets Submitted - Cases Chargesheeted (Col.16+ Col.17) - (Col. 18),Total Cases Disposed Off by Police (Col.7+8+15+18) - (Col. 19),Cases Quashed at Investigation Stage - (Col. 20),Cases Stayed at Investigation Stage - (Col. 21),Cases Pending Invsgn.at end of the year (Cols. 6-9- 19-20) - (Col. 22),Chargesheeting Rate (Col.18/19*100) - (Col. 23),Pendency Percentage (Col.22/6*100) - (Col. 24)
1,The Dowry Prohibition Act,7484,10366,4,17854,0,61,0,29,297,436,703,1,1466,3093,5511,8604,10131,4,16,7719,84.9,43.2
2,The Immoral Traffic (Prevention) Act,2463,1294,1,3758,0,1,0,0,12,6,19,1,38,555,667,1222,1261,2,1,2495,96.9,66.4
3,The Protection of Women from Domestic Violence Act,277,446,0,723,0,0,0,0,12,2,1,0,15,43,317,360,375,0,0,348,96,48.1
4,The Indecent Representation of Women (Prohibition) Act,24,12,0,36,0,0,0,0,0,1,1,0,2,4,4,8,10,0,0,26,80,72.2
Crime Against Women – Related Acts,Crime Against Women – Related Acts,10248,12118,5,22371,0,62,0,29,321,445,724,2,1521,3695,6499,10194,11777,6,17,10588,86.6,47.3
5,The Protection of Children from Sexual Offences Act,19129,47221,43,66393,2,87,2,35,787,454,1100,54,2430,9955,34754,44709,47228,20,5,19143,94.7,28.8
6,The Juvenile Justice (Care and Protection of Children) Act,1012,1713,3,2728,0,3,0,0,34,39,67,0,140,302,1216,1518,1661,0,1,1067,91.4,39.1
7,The Prohibition of Child Marriage Act,389,785,0,1174,0,11,0,0,32,35,27,3,97,175,330,505,613,1,0,560,82.4,47.7
8,The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,44,51,0,95,0,0,0,0,2,0,3,0,5,17,24,41,46,0,0,49,89.1,51.6
9,The Child Labour (Prohibition & Regulation) Act,374,476,0,850,0,0,0,0,6,12,39,2,59,103,323,426,485,0,0,365,87.8,42.9
10,The Medical Termination of Pregnancy Act,10,30,0,40,0,0,0,0,2,2,1,0,5,2,18,20,25,0,0,15,80,37.5
Children Related – Acts,Children Related – Acts,20958,50276,46,71280,2,101,2,35,863,542,1237,59,2736,10554,36665,47219,50058,21,6,21199,94.3,29.7
11,The SC/ST (Prevention of Atrocities) Act against SCs,2600,4242,22,6864,0,6,0,69,483,158,533,4,1247,744,2188,2932,4185,5,29,2674,70.1,39
12,The SC/ST (Prevention of Atrocities) Act against STs,546,410,5,961,0,1,0,13,66,12,22,0,113,82,115,197,311,3,2,647,63.3,67.3
13,The Protection of Civil Rights Act against SCs,21,26,0,47,0,0,0,0,4,1,0,0,5,3,8,11,16,0,0,31,68.8,66
14,The Protection of Civil Rights Act against STs,5,2,0,7,0,0,0,0,0,0,3,0,3,0,1,1,4,0,0,3,25,42.9
Scheduled Castes and Scheduled Tribes – Related Acts,Scheduled Castes and Scheduled Tribes – Related Acts,3172,4680,27,7879,0,7,0,82,553,171,558,4,1368,829,2312,3141,4516,8,31,3355,69.6,42.6
15,The Prevention of Damage to Public Property Act,3895,4524,2,8421,0,0,0,0,76,173,550,4,803,1160,2726,3886,4689,2,0,3730,82.9,44.3
16,The Unlawful Activities (P) Act,4021,796,10,4827,0,7,0,0,10,14,297,0,321,272,126,398,726,0,0,4101,54.8,85
17,The Official Secrets Act,43,39,0,82,0,0,0,0,3,4,3,0,10,15,17,32,42,0,0,40,76.2,48.8
Offences against State - Related Acts,Offences against State - Related Acts,7959,5359,12,13330,0,7,0,0,89,191,850,4,1134,1447,2869,4316,5457,2,0,7871,79.1,59
18,The Arms Act,14290,68463,1,82754,0,6,0,10,38,114,656,53,871,5933,60067,66000,66877,2,2,15875,98.7,19.2
18.1,Fire Arms,12194,44789,0,56983,0,5,0,9,33,77,541,23,683,4975,38300,43275,43963,0,1,13020,98.4,22.8
18.1.1,Legal/Licensed Arms,227,395,0,622,0,0,0,0,3,3,12,0,18,33,304,337,355,0,0,267,94.9,42.9
18.1.2,Illegal/Unlicensed Arms,11967,44394,0,56361,0,5,0,9,30,74,529,23,665,4942,37996,42938,43608,0,1,12753,98.5,22.6
18.2,Other Arms,2096,23674,1,25771,0,1,0,1,5,37,115,30,188,958,21767,22725,22914,2,1,2855,99.2,11.1
19,The Explosives Act,892,1994,0,2886,0,1,0,0,7,12,82,2,103,317,1367,1684,1788,0,1,1098,94.2,38
20,The Explosive Substances Act,2505,2239,0,4744,0,0,0,0,11,25,278,4,318,524,1137,1661,1979,2,0,2763,83.9,58.2
